,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time
12,2,12,,"{'loss': 0.496807605334413, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [12], 'x_l2_leaf_reg': [12], 'x_learning_rate': [12], 'x_max_depth': [12]}, 'vals': {'n_estimators': [1800.0], 'x_l2_leaf_reg': [0.922321702307972], 'x_learning_rate': [0.10488332259177875], 'x_max_depth': [5.0]}}",,,0,2022-04-03 14:49:59.040,2022-04-03 14:50:03.038
13,2,13,,"{'loss': 0.475760664315963, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [13], 'x_l2_leaf_reg': [13], 'x_learning_rate': [13], 'x_max_depth': [13]}, 'vals': {'n_estimators': [1200.0], 'x_l2_leaf_reg': [2.599618638902951], 'x_learning_rate': [0.38116969036874493], 'x_max_depth': [12.0]}}",,,0,2022-04-03 14:50:03.057,2022-04-03 14:51:17.326
14,2,14,,"{'loss': 0.47543168280337544, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [14], 'x_l2_leaf_reg': [14], 'x_learning_rate': [14], 'x_max_depth': [14]}, 'vals': {'n_estimators': [800.0], 'x_l2_leaf_reg': [1.9282403463850504], 'x_learning_rate': [0.05741360683037347], 'x_max_depth': [15.0]}}",,,0,2022-04-03 14:51:17.342,2022-04-03 14:58:14.717
15,2,15,,"{'loss': 0.4806455341664406, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [15], 'x_l2_leaf_reg': [15], 'x_learning_rate': [15], 'x_max_depth': [15]}, 'vals': {'n_estimators': [400.0], 'x_l2_leaf_reg': [2.9910295785577268], 'x_learning_rate': [0.16089202325372193], 'x_max_depth': [9.0]}}",,,0,2022-04-03 14:58:14.732,2022-04-03 14:58:19.238
16,2,16,,"{'loss': 0.4921176210449597, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [16], 'x_l2_leaf_reg': [16], 'x_learning_rate': [16], 'x_max_depth': [16]}, 'vals': {'n_estimators': [1800.0], 'x_l2_leaf_reg': [1.0959758189945772], 'x_learning_rate': [0.2677876439145679], 'x_max_depth': [11.0]}}",,,0,2022-04-03 14:58:19.253,2022-04-03 14:59:14.782
17,2,17,,"{'loss': 0.4876982790392315, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [17], 'x_l2_leaf_reg': [17], 'x_learning_rate': [17], 'x_max_depth': [17]}, 'vals': {'n_estimators': [1400.0], 'x_l2_leaf_reg': [2.4093303336559817], 'x_learning_rate': [0.12273681718836302], 'x_max_depth': [6.0]}}",,,0,2022-04-03 14:59:14.797,2022-04-03 14:59:18.916
18,2,18,,"{'loss': 0.5050208162253236, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [18], 'x_l2_leaf_reg': [18], 'x_learning_rate': [18], 'x_max_depth': [18]}, 'vals': {'n_estimators': [1300.0], 'x_l2_leaf_reg': [2.1957043231545073], 'x_learning_rate': [0.05287643198653372], 'x_max_depth': [7.0]}}",,,0,2022-04-03 14:59:18.929,2022-04-03 14:59:24.312
19,2,19,,"{'loss': 0.493148751345985, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [19], 'x_l2_leaf_reg': [19], 'x_learning_rate': [19], 'x_max_depth': [19]}, 'vals': {'n_estimators': [1700.0], 'x_l2_leaf_reg': [2.584363515509235], 'x_learning_rate': [0.14682731745120245], 'x_max_depth': [5.0]}}",,,0,2022-04-03 14:59:24.324,2022-04-03 14:59:28.081
20,2,20,,"{'loss': 0.4889654200070843, 'status': 'ok'}","{'tid': 20, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [20], 'x_l2_leaf_reg': [20], 'x_learning_rate': [20], 'x_max_depth': [20]}, 'vals': {'n_estimators': [900.0], 'x_l2_leaf_reg': [1.8409575350433705], 'x_learning_rate': [0.08779457040458691], 'x_max_depth': [8.0]}}",,,0,2022-04-03 14:59:28.093,2022-04-03 14:59:33.875
21,2,21,,"{'loss': 0.4756744079880211, 'status': 'ok'}","{'tid': 21, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [21], 'x_l2_leaf_reg': [21], 'x_learning_rate': [21], 'x_max_depth': [21]}, 'vals': {'n_estimators': [1300.0], 'x_l2_leaf_reg': [2.9068059745592847], 'x_learning_rate': [0.23871768006557945], 'x_max_depth': [9.0]}}",,,0,2022-04-03 14:59:33.891,2022-04-03 14:59:47.832
22,2,22,,"{'loss': 0.4665624851411474, 'status': 'ok'}","{'tid': 22, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [22], 'x_l2_leaf_reg': [22], 'x_learning_rate': [22], 'x_max_depth': [22]}, 'vals': {'n_estimators': [1600.0], 'x_l2_leaf_reg': [2.3895983116596367], 'x_learning_rate': [0.1492729116651402], 'x_max_depth': [6.0]}}",,,0,2022-04-03 14:59:47.846,2022-04-03 14:59:52.466
23,2,23,,"{'loss': 0.5531497496030534, 'status': 'ok'}","{'tid': 23, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [23], 'x_l2_leaf_reg': [23], 'x_learning_rate': [23], 'x_max_depth': [23]}, 'vals': {'n_estimators': [1100.0], 'x_l2_leaf_reg': [2.6771447803351593], 'x_learning_rate': [0.07057002534449282], 'x_max_depth': [3.0]}}",,,0,2022-04-03 14:59:52.479,2022-04-03 14:59:54.155
24,2,24,,"{'loss': 0.46681552411093813, 'status': 'ok'}","{'tid': 24, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [24], 'x_l2_leaf_reg': [24], 'x_learning_rate': [24], 'x_max_depth': [24]}, 'vals': {'n_estimators': [1400.0], 'x_l2_leaf_reg': [2.1078012252798444], 'x_learning_rate': [0.18570556190390833], 'x_max_depth': [8.0]}}",,,0,2022-04-03 14:59:54.168,2022-04-03 15:00:03.053
25,2,25,,"{'loss': 0.4800845652626199, 'status': 'ok'}","{'tid': 25, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [25], 'x_l2_leaf_reg': [25], 'x_learning_rate': [25], 'x_max_depth': [25]}, 'vals': {'n_estimators': [1900.0], 'x_l2_leaf_reg': [1.7722257181055654], 'x_learning_rate': [0.23366064827876692], 'x_max_depth': [10.0]}}",,,0,2022-04-03 15:00:03.066,2022-04-03 15:00:35.537
26,2,26,,"{'loss': 0.49599824744663873, 'status': 'ok'}","{'tid': 26, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [26], 'x_l2_leaf_reg': [26], 'x_learning_rate': [26], 'x_max_depth': [26]}, 'vals': {'n_estimators': [1500.0], 'x_l2_leaf_reg': [2.430849176851415], 'x_learning_rate': [0.32608172790680445], 'x_max_depth': [7.0]}}",,,0,2022-04-03 15:00:35.551,2022-04-03 15:00:41.812
27,2,27,,"{'loss': 0.4505897313496077, 'status': 'ok'}","{'tid': 27, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [27], 'x_l2_leaf_reg': [27], 'x_learning_rate': [27], 'x_max_depth': [27]}, 'vals': {'n_estimators': [1200.0], 'x_l2_leaf_reg': [2.9982699023853785], 'x_learning_rate': [0.1308666634557194], 'x_max_depth': [11.0]}}",,,0,2022-04-03 15:00:41.827,2022-04-03 15:01:21.818
28,2,28,,"{'loss': 0.4528531759566532, 'status': 'ok'}","{'tid': 28, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [28], 'x_l2_leaf_reg': [28], 'x_learning_rate': [28], 'x_max_depth': [28]}, 'vals': {'n_estimators': [600.0], 'x_l2_leaf_reg': [2.994706839685493], 'x_learning_rate': [0.21214094560240312], 'x_max_depth': [11.0]}}",,,0,2022-04-03 15:01:21.835,2022-04-03 15:01:40.885
29,2,29,,"{'loss': 0.4636089415976827, 'status': 'ok'}","{'tid': 29, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [29], 'x_l2_leaf_reg': [29], 'x_learning_rate': [29], 'x_max_depth': [29]}, 'vals': {'n_estimators': [900.0], 'x_l2_leaf_reg': [0.5594363513045568], 'x_learning_rate': [0.13478386034860612], 'x_max_depth': [13.0]}}",,,0,2022-04-03 15:01:40.901,2022-04-03 15:03:33.771
30,2,30,,"{'loss': 0.46462396314106136, 'status': 'ok'}","{'tid': 30, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [30], 'x_l2_leaf_reg': [30], 'x_learning_rate': [30], 'x_max_depth': [30]}, 'vals': {'n_estimators': [1200.0], 'x_l2_leaf_reg': [2.781167182081962], 'x_learning_rate': [0.1854106228601447], 'x_max_depth': [11.0]}}",,,0,2022-04-03 15:03:33.788,2022-04-03 15:04:10.976
31,2,31,,"{'loss': 0.5030898946105246, 'status': 'ok'}","{'tid': 31, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [31], 'x_l2_leaf_reg': [31], 'x_learning_rate': [31], 'x_max_depth': [31]}, 'vals': {'n_estimators': [600.0], 'x_l2_leaf_reg': [2.0546884976359223], 'x_learning_rate': [0.028459191503570763], 'x_max_depth': [10.0]}}",,,0,2022-04-03 15:04:10.993,2022-04-03 15:04:20.856
32,2,32,,"{'loss': 0.48224570915951465, 'status': 'ok'}","{'tid': 32, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [32], 'x_l2_leaf_reg': [32], 'x_learning_rate': [32], 'x_max_depth': [32]}, 'vals': {'n_estimators': [800.0], 'x_l2_leaf_reg': [1.5994488020885596], 'x_learning_rate': [0.21834647553247644], 'x_max_depth': [13.0]}}",,,0,2022-04-03 15:04:20.871,2022-04-03 15:06:08.621
33,2,33,,"{'loss': 0.5111496157635511, 'status': 'ok'}","{'tid': 33, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [33], 'x_l2_leaf_reg': [33], 'x_learning_rate': [33], 'x_max_depth': [33]}, 'vals': {'n_estimators': [1000.0], 'x_l2_leaf_reg': [0.6044797375392035], 'x_learning_rate': [0.2639819539636681], 'x_max_depth': [13.0]}}",,,0,2022-04-03 15:06:08.636,2022-04-03 15:09:20.907
34,2,34,,"{'loss': 0.47947231720314487, 'status': 'ok'}","{'tid': 34, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [34], 'x_l2_leaf_reg': [34], 'x_learning_rate': [34], 'x_max_depth': [34]}, 'vals': {'n_estimators': [1200.0], 'x_l2_leaf_reg': [1.336821868180839], 'x_learning_rate': [0.16903490394404153], 'x_max_depth': [10.0]}}",,,0,2022-04-03 15:09:20.922,2022-04-03 15:09:52.468
35,2,35,,"{'loss': 0.4553275357756286, 'status': 'ok'}","{'tid': 35, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [35], 'x_l2_leaf_reg': [35], 'x_learning_rate': [35], 'x_max_depth': [35]}, 'vals': {'n_estimators': [1600.0], 'x_l2_leaf_reg': [0.37413668327738625], 'x_learning_rate': [0.12165018899974486], 'x_max_depth': [14.0]}}",,,0,2022-04-03 15:09:52.489,2022-04-03 15:22:24.342
36,2,36,,"{'loss': 0.4607998378867712, 'status': 'ok'}","{'tid': 36, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [36], 'x_l2_leaf_reg': [36], 'x_learning_rate': [36], 'x_max_depth': [36]}, 'vals': {'n_estimators': [400.0], 'x_l2_leaf_reg': [2.9975777131334556], 'x_learning_rate': [0.1991013418424047], 'x_max_depth': [15.0]}}",,,0,2022-04-03 15:22:24.363,2022-04-03 15:28:34.725
37,2,37,,"{'loss': 0.4849448779367743, 'status': 'ok'}","{'tid': 37, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [37], 'x_l2_leaf_reg': [37], 'x_learning_rate': [37], 'x_max_depth': [37]}, 'vals': {'n_estimators': [1500.0], 'x_l2_leaf_reg': [2.836432722683058], 'x_learning_rate': [0.2968251445164204], 'x_max_depth': [9.0]}}",,,0,2022-04-03 15:28:34.749,2022-04-03 15:29:10.729
38,2,38,,"{'loss': 0.47949483339671684, 'status': 'ok'}","{'tid': 38, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [38], 'x_l2_leaf_reg': [38], 'x_learning_rate': [38], 'x_max_depth': [38]}, 'vals': {'n_estimators': [700.0], 'x_l2_leaf_reg': [0.733373738276601], 'x_learning_rate': [0.07678884288718728], 'x_max_depth': [11.0]}}",,,0,2022-04-03 15:29:10.748,2022-04-03 15:29:46.922
39,2,39,,"{'loss': 0.6590400740840919, 'status': 'ok'}","{'tid': 39, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [39], 'x_l2_leaf_reg': [39], 'x_learning_rate': [39], 'x_max_depth': [39]}, 'vals': {'n_estimators': [100.0], 'x_l2_leaf_reg': [2.5626435010105646], 'x_learning_rate': [0.026150280691377897], 'x_max_depth': [8.0]}}",,,0,2022-04-03 15:29:46.940,2022-04-03 15:29:48.053
40,2,40,,"{'loss': 0.45788857834547514, 'status': 'ok'}","{'tid': 40, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [40], 'x_l2_leaf_reg': [40], 'x_learning_rate': [40], 'x_max_depth': [40]}, 'vals': {'n_estimators': [2000.0], 'x_l2_leaf_reg': [2.2401325858132832], 'x_learning_rate': [0.24493377392475427], 'x_max_depth': [12.0]}}",,,0,2022-04-03 15:29:48.084,2022-04-03 15:33:02.125
41,2,41,,"{'loss': 0.5116317237483878, 'status': 'ok'}","{'tid': 41, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [41], 'x_l2_leaf_reg': [41], 'x_learning_rate': [41], 'x_max_depth': [41]}, 'vals': {'n_estimators': [1700.0], 'x_l2_leaf_reg': [1.2404580597780845], 'x_learning_rate': [0.2975054165330042], 'x_max_depth': [13.0]}}",,,0,2022-04-03 15:33:02.148,2022-04-03 15:36:42.786
42,2,42,,"{'loss': 0.48939533792991263, 'status': 'ok'}","{'tid': 42, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [42], 'x_l2_leaf_reg': [42], 'x_learning_rate': [42], 'x_max_depth': [42]}, 'vals': {'n_estimators': [1000.0], 'x_l2_leaf_reg': [1.7122125036177331], 'x_learning_rate': [0.36476102589757203], 'x_max_depth': [10.0]}}",,,0,2022-04-03 15:36:42.802,2022-04-03 15:36:59.550
43,2,43,,"{'loss': 0.4864326255354544, 'status': 'ok'}","{'tid': 43, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [43], 'x_l2_leaf_reg': [43], 'x_learning_rate': [43], 'x_max_depth': [43]}, 'vals': {'n_estimators': [1300.0], 'x_l2_leaf_reg': [2.6806567216765997], 'x_learning_rate': [0.11597904375260604], 'x_max_depth': [12.0]}}",,,0,2022-04-03 15:36:59.566,2022-04-03 15:38:22.534
44,2,44,,"{'loss': 0.44973903580180946, 'status': 'ok'}","{'tid': 44, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [44], 'x_l2_leaf_reg': [44], 'x_learning_rate': [44], 'x_max_depth': [44]}, 'vals': {'n_estimators': [1100.0], 'x_l2_leaf_reg': [2.0391558389346702], 'x_learning_rate': [0.050701938569694155], 'x_max_depth': [15.0]}}",,,0,2022-04-03 15:38:22.554,2022-04-03 15:49:36.668
45,2,45,,"{'loss': 0.46502033090524186, 'status': 'ok'}","{'tid': 45, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [45], 'x_l2_leaf_reg': [45], 'x_learning_rate': [45], 'x_max_depth': [45]}, 'vals': {'n_estimators': [500.0], 'x_l2_leaf_reg': [1.4292941081195205], 'x_learning_rate': [0.052168777768293914], 'x_max_depth': [15.0]}}",,,0,2022-04-03 15:49:36.690,2022-04-03 15:55:32.380
46,2,46,,"{'loss': 0.5417573099368789, 'status': 'ok'}","{'tid': 46, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [46], 'x_l2_leaf_reg': [46], 'x_learning_rate': [46], 'x_max_depth': [46]}, 'vals': {'n_estimators': [900.0], 'x_l2_leaf_reg': [0.8832062852651792], 'x_learning_rate': [0.005077243064579233], 'x_max_depth': [14.0]}}",,,0,2022-04-03 15:55:32.400,2022-04-03 16:01:00.838
47,2,47,,"{'loss': 0.4728965776312391, 'status': 'ok'}","{'tid': 47, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [47], 'x_l2_leaf_reg': [47], 'x_learning_rate': [47], 'x_max_depth': [47]}, 'vals': {'n_estimators': [1100.0], 'x_l2_leaf_reg': [1.9874992368381041], 'x_learning_rate': [0.02184418348346666], 'x_max_depth': [14.0]}}",,,0,2022-04-03 16:01:00.860,2022-04-03 16:07:47.348
48,2,48,,"{'loss': 0.5328820784384525, 'status': 'ok'}","{'tid': 48, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [48], 'x_l2_leaf_reg': [48], 'x_learning_rate': [48], 'x_max_depth': [48]}, 'vals': {'n_estimators': [700.0], 'x_l2_leaf_reg': [2.479642909594393], 'x_learning_rate': [0.09083182203195977], 'x_max_depth': [4.0]}}",,,0,2022-04-03 16:07:47.369,2022-04-03 16:07:49.254
49,2,49,,"{'loss': 0.4748667743980907, 'status': 'ok'}","{'tid': 49, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [49], 'x_l2_leaf_reg': [49], 'x_learning_rate': [49], 'x_max_depth': [49]}, 'vals': {'n_estimators': [800.0], 'x_l2_leaf_reg': [1.6771637771666514], 'x_learning_rate': [0.03696558897455064], 'x_max_depth': [15.0]}}",,,0,2022-04-03 16:07:49.279,2022-04-03 16:17:19.690
